Object,Filter,MJD,Flux,Error
Mrk142,M2,58512.43,6.121,0.217
Mrk142,M2,58512.899,6.026,0.178
Mrk142,M2,58514.349,5.685,0.176
Mrk142,M2,58516.343,5.155,0.164
Mrk142,M2,58516.885,5.452,0.171
Mrk142,M2,58518.337,5.456,0.236
Mrk142,M2,58518.811,5.924,0.174
Mrk142,M2,58519.4,5.99,0.172
Mrk142,M2,58519.865,6.217,0.185
Mrk142,M2,58520.397,6.139,0.171
Mrk142,M2,58520.863,5.96,0.187
Mrk142,M2,58521.399,6.109,0.183
Mrk142,M2,58521.794,5.841,0.172
Mrk142,M2,58522.394,6.055,0.168
Mrk142,M2,58523.39,6.046,0.177
Mrk142,M2,58523.722,6.345,0.192
Mrk142,M2,58524.387,6.149,0.174
Mrk142,M2,58524.718,6.488,0.184
Mrk142,M2,58525.449,6.515,0.192
Mrk142,M2,58525.649,6.635,0.184
Mrk142,M2,58527.376,6.849,0.187
Mrk142,M2,58527.708,6.752,0.185
Mrk142,M2,58528.185,6.801,0.235
Mrk142,M2,58528.838,6.318,0.189
Mrk142,M2,58529.973,6.371,0.204
Mrk142,M2,58530.763,5.947,0.169
Mrk142,M2,58531.502,6.4,0.169
Mrk142,M2,58531.758,6.231,0.171
Mrk142,M2,58532.757,6.467,0.177
Mrk142,M2,58533.027,5.934,0.17
Mrk142,M2,58534.085,6.049,0.255
Mrk142,M2,58534.349,6.296,0.24
Mrk142,M2,58534.747,6.198,0.177
Mrk142,M2,58535.21,5.904,0.181
Mrk142,M2,58535.745,5.452,0.332
Mrk142,M2,58536.272,5.56,0.17
Mrk142,M2,58536.746,5.696,0.178
Mrk142,M2,58537.202,5.689,0.168
Mrk142,M2,58538.196,5.56,0.192
Mrk142,M2,58538.662,5.63,0.166
Mrk142,M2,58539.193,5.529,0.167
Mrk142,M2,58539.724,5.627,0.18
Mrk142,M2,58540.188,5.162,0.172
Mrk142,M2,58541.65,5.451,0.17
Mrk142,M2,58542.712,5.313,0.161
Mrk142,M2,58543.309,5.234,0.168
Mrk142,M2,58543.974,5.313,0.169
Mrk142,M2,58544.904,5.042,0.166
Mrk142,M2,58545.306,5.462,0.176
Mrk142,M2,58545.632,5.211,0.156
Mrk142,M2,58546.163,4.965,0.169
Mrk142,M2,58546.694,4.963,0.154
Mrk142,M2,58547.16,5.272,0.162
