Object,Filter,Cadence,MJD,Duration,Flux,Error
NGC4593,M2,4020,57584.11814,236.38028,1.3344239,0.029003737
NGC4593,W1,4021,57584.17617,156.76676,1.3294968,0.02623944
NGC4593,U,4021,57584.17758,78.76398003,1.11990715,0.023232015
NGC4593,B,4021,57584.17855,78.77504003,1.1714076,0.023129365
NGC4593,HX,4021,57584.17973,942.7439232,0.568859,0.043505
NGC4593,SX,4021,57584.17973,942.7439232,0.655757,0.046759
NGC4593,W2,4021,57584.18089,314.76916,1.3568939,0.02329539
NGC4593,V,4021,57584.18323,78.77502,1.3289063,0.030764607
NGC4593,M2,4021,57584.18495,210.37568,1.3503758,0.03062375
NGC4593,W1,4022,57584.24153,166.7736,1.2995467,0.025281064
NGC4593,U,4022,57584.24303,82.78000003,1.1224503,0.02295146
NGC4593,B,4022,57584.24404,82.76896,1.1369151,0.022264849
NGC4593,HX,4022,57584.24537,1002.919968,0.519351,0.036163
NGC4593,SX,4022,57584.24537,1002.919968,0.658024,0.040731
NGC4593,W2,4022,57584.24653,332.7749,1.3134753,0.022373285
NGC4593,V,4022,57584.24899,82.77999997,1.3548083,0.03062998
NGC4593,M2,4022,57584.25083,227.05746,1.293313,0.028877804
NGC4593,U,4023,57584.30939,72.77314001,1.1031833,0.023819363
NGC4593,B,4023,57584.3103,72.77312005,1.0993563,0.022950307
NGC4593,HX,4023,57584.31134,882.569952,0.489096,0.033956
NGC4593,SX,4023,57584.31134,882.569952,0.664117,0.039605
NGC4593,V,4023,57584.31465,72.77316004,1.2980171,0.03133435
NGC4593,W1,4024,57584.3761,185.772,1.2856944,0.024053838
NGC4593,U,4024,57584.37776,92.78688002,1.10047215,0.021641971
NGC4593,B,4024,57584.37889,92.76477998,1.1161419,0.020939009
NGC4593,HX,4024,57584.38066,1143.327917,0.530175,0.033907
NGC4593,SX,4024,57584.38066,1143.327917,0.607883,0.036268
NGC4593,W2,4024,57584.38165,371.76526,1.2906817,0.021258989
NGC4593,V,4024,57584.3844,92.76477998,1.3415244,0.029138272
NGC4593,M2,4024,57584.38662,282.56412,1.24945246,0.025950562
NGC4593,W1,4025,57584.44342,175.76544,1.3468013,0.025319144
NGC4593,U,4025,57584.445,87.72276002,1.1135198,0.022226748
NGC4593,B,4025,57584.44607,87.77789998,1.145823,0.021748947
NGC4593,HX,4025,57584.44769,1083.153946,0.409484,0.026966
NGC4593,SX,4025,57584.44769,1083.153946,0.579257,0.032004
NGC4593,W2,4025,57584.44869,351.7736,1.27461704,0.0214864
NGC4593,V,4025,57584.45129,87.77789998,1.3284798,0.029555534
NGC4593,M2,4025,57584.45339,265.07692,1.30086736,0.027296203
NGC4593,W1,4026,57584.50832,146.7709,1.2868628,0.026366907
NGC4593,U,4026,57584.50964,73.77711999,1.1090375,0.023653223
NGC4593,B,4026,57584.51055,73.77711999,1.1252044,0.02308057
NGC4593,HX,4026,57584.51181,920.1800448,0.371013,0.035241
NGC4593,SX,4026,57584.51181,920.1800448,0.508317,0.041195
NGC4593,V,4026,57584.51493,73.76609999,1.361831,0.032109873
NGC4593,M2,4026,57584.51676,234.32818,1.2649436,0.028147707
NGC4593,U,4027,57584.57554,87.77790004,1.0762192,0.021786343
NGC4593,B,4027,57584.57661,87.77792001,1.09697424,0.021257325
NGC4593,HX,4027,57584.57823,1083.153946,0.27518,0.02201
NGC4593,SX,4027,57584.57823,1083.153946,0.356852,0.025018
NGC4593,W2,4027,57584.57922,351.77358,1.1905391,0.020524197
NGC4593,V,4027,57584.58182,87.76686001,1.2932418,0.029022147
NGC4593,M2,4027,57584.58393,267.49312,1.2110891,0.025995714
NGC4593,W1,4028,57584.64815,173.76848,1.2816659,0.024580973
NGC4593,U,4028,57584.6497,86.77390003,1.1499339,0.02278571
NGC4593,B,4028,57584.65076,86.76286,1.1846518,0.022313712
NGC4593,HX,4028,57584.65184,1085.661965,0.217021,0.018862
NGC4593,SX,4028,57584.65184,1085.661965,0.233348,0.019023
NGC4593,W2,4028,57584.65334,347.77968,1.2477131,0.021266369
NGC4593,V,4028,57584.65591,86.77390003,1.30484324,0.029323428
NGC4593,M2,4028,57584.65778,225.9321401,1.31999395,0.02933853
NGC4593,W1,4029,57584.7252,123.7673,1.3464237,0.029058026
