Object,Filter,Cadence,MJD,Duration,Flux,Error
Mrk509,SX,1017,57846.73431,990.3840192,1.339066,0.077913
Mrk509,V,1017,57846.73778,80.78304005,1.1505634,0.027733328
Mrk509,W1,1018,57847.58305,175.7544,3.8028967,0.055315026
Mrk509,U,1018,57847.58463,87.77792001,2.7633013,0.048775196
Mrk509,B,1018,57847.5857,87.77789998,1.5360155,0.027472968
Mrk509,HX,1018,57847.58726,1078.139981,0.815427,0.048846
Mrk509,SX,1018,57847.58726,1078.139981,1.308239,0.061964
Mrk509,W2,1018,57847.5883,351.78462,4.7409833,0.059075476
Mrk509,V,1018,57847.59091,87.76688004,1.22056524,0.02774052
Mrk509,M2,1018,57847.59298,262.5945,4.1039407,0.06212015
Mrk509,W1,1019,57848.79314,241.77536,3.8080626,0.050674117
Mrk509,U,1019,57848.79529,120.77736,2.7527053,0.044172535
Mrk509,HX,1019,57848.79559,839.9460672,1.0557,0.09445
Mrk509,SX,1019,57848.79559,839.9460672,1.509325,0.11274
Mrk509,B,1019,57848.79674,120.77734,1.492977,0.024061443
Mrk509,W2,1019,57848.79948,340.39862,4.752298,0.05967524
Mrk509,W1,1020,57849.643,172.7755,3.808585,0.05570807
Mrk509,U,1020,57849.64456,86.77390003,2.6244198,0.046514433
Mrk509,B,1020,57849.64562,86.77392,1.5308152,0.02799335
Mrk509,HX,1020,57849.64712,1058.079974,0.8809,0.052774
Mrk509,SX,1020,57849.64712,1058.079974,1.400295,0.066581
Mrk509,W2,1020,57849.64812,345.42964,4.6354366,0.05825044
Mrk509,V,1020,57849.65068,86.77389997,1.1721869,0.027149524
Mrk509,M2,1020,57849.65274,260.3107,4.015507,0.061244013
Mrk509,U,1021,57850.11169,80.77200001,2.6609567,0.048255806
Mrk509,B,1021,57850.11268,80.77202004,1.5455792,0.028452371
Mrk509,HX,1021,57850.11409,1005.427987,1.067483,0.070317
Mrk509,SX,1021,57850.11409,1005.427987,1.842716,0.092417
Mrk509,V,1021,57850.1175,80.72787994,1.1687418,0.027866108
Mrk509,W1,1022,57851.10513,174.7725,3.6187104,0.05324155
Mrk509,U,1022,57851.1067,87.77792001,2.6233073,0.04631177
Mrk509,B,1022,57851.10777,87.77792001,1.473098,0.026506115
Mrk509,HX,1022,57851.10942,1089.31392,0.848732,0.077072
Mrk509,SX,1022,57851.10942,1089.31392,1.335366,0.098592
Mrk509,V,1022,57851.11296,87.77789998,1.1413494,0.026520422
Mrk509,W1,1023,57852.50749,163.7616,3.67547,0.05498808
Mrk509,U,1023,57852.50896,81.77598,2.6197631,0.047328935
Mrk509,B,1023,57852.50996,81.77599996,1.5002803,0.027602935
Mrk509,HX,1023,57852.51127,990.3840192,0.775904,0.080576
Mrk509,SX,1023,57852.51127,990.3840192,1.212444,0.100638
Mrk509,W2,1023,57852.51239,326.77294,4.4217752,0.056729613
Mrk509,V,1023,57852.51481,81.77598,1.1573653,0.027501752
Mrk509,M2,1023,57852.51672,240.47348,3.8649866,0.06088001
Mrk509,W1,1024,57853.43681,161.76466,3.5468315,0.05362448
Mrk509,U,1024,57853.43827,80.76098001,2.5527976,0.04632708
Mrk509,B,1024,57853.43926,80.73889995,1.4795124,0.02740417
Mrk509,HX,1024,57853.44057,985.3679808,0.717961,0.047624
Mrk509,SX,1024,57853.44057,985.3679808,0.923867,0.054118
Mrk509,W2,1024,57853.44167,324.77606,4.222359,0.05469217
Mrk509,V,1024,57853.44407,80.77198005,1.17324965,0.027864597
Mrk509,M2,1024,57853.44593,232.84976,3.764866,0.06028442
Mrk509,W1,1025,57854.5718,91.78285998,3.44322,0.063769315
Mrk509,U,1025,57854.57264,45.76455998,2.5714892,0.057249104
Mrk509,B,1025,57854.57323,45.76456004,1.4465581,0.03381606
Mrk509,HX,1025,57854.57354,569.1579264,0.674349,0.06171
Mrk509,SX,1025,57854.57354,569.1579264,0.937534,0.07273
Mrk509,W2,1025,57854.57462,183.77534,4.0845677,0.06266725
Mrk509,V,1025,57854.57599,45.76455998,1.13992136,0.03474069
Mrk509,M2,1025,57854.57707,132.13024,3.614752,0.070951577
Mrk509,W1,1026,57854.70576,81.77599996,3.4327308,0.06649169
Mrk509,U,1026,57854.70652,40.77763999,2.4189958,0.05654475
Mrk509,B,1026,57854.70704,40.76664001,1.4363824,0.03536613
Mrk509,HX,1026,57854.70722,508.9820544,0.653772,0.05501
Mrk509,SX,1026,57854.70722,508.9820544,0.873754,0.06339
Mrk509,W2,1026,57854.70829,163.77268,4.1421653,0.065769774
Mrk509,V,1026,57854.70953,40.77768004,1.1733796,0.037382764
Mrk509,M2,1026,57854.71049,117.45646,3.5119758,0.07269859
Mrk509,W1,1027,57855.16446,73.76608002,3.523909,0.07054016
Mrk509,U,1027,57855.16515,36.75066,2.4234082,0.058934
Mrk509,B,1027,57855.16563,36.77270001,1.4078528,0.036279604
Mrk509,HX,1027,57855.16577,473.8799808,0.771497,0.070001
Mrk509,SX,1027,57855.16577,473.8799808,1.037825,0.081206
Mrk509,W2,1027,57855.16676,147.77492,4.0127295,0.066461985
Mrk509,V,1027,57855.16788,36.77272004,1.1484124,0.038272535
Mrk509,M2,1027,57855.16882,117.79848,3.6159447,0.07412544
Mrk509,W1,1028,57855.50682,73.76608002,3.392661,0.068568476
Mrk509,U,1028,57855.50751,36.78373998,2.5236486,0.061431154
Mrk509,B,1028,57855.50799,36.77271998,1.3962258,0.036374115
Mrk509,HX,1028,57855.50813,473.8799808,0.670825,0.065198
Mrk509,SX,1028,57855.50813,473.8799808,1.003504,0.079584
Mrk509,W2,1028,57855.50913,147.77492,4.22985,0.06916819
Mrk509,V,1028,57855.51024,36.77271998,1.12734995,0.03818012
Mrk509,M2,1028,57855.51119,117.3792,3.7056102,0.075503114
Mrk509,W1,1029,57856.02846,171.7605,3.4240392,0.051166285
Mrk509,U,1029,57856.03,85.76991999,2.4402155,0.043498202
Mrk509,B,1029,57856.03104,85.75888002,1.4049566,0.025661684
Mrk509,HX,1029,57856.0321,975.3400512,0.796544,0.054018
Mrk509,SX,1029,57856.0321,975.3400512,1.016371,0.060881
Mrk509,W2,1029,57856.03359,342.75972,4.045762,0.05210175
Mrk509,V,1029,57856.03613,85.78094,1.12053675,0.026367837
Mrk509,M2,1029,57856.03781,196.38596,3.5774975,0.061268995
Mrk509,U,1030,57857.09032,80.78302002,2.4229364,0.04402877
Mrk509,B,1030,57857.09131,80.78301996,1.422422,0.026478192
Mrk509,HX,1030,57857.09263,987.876,0.761357,0.055328
Mrk509,SX,1030,57857.09263,987.876,1.138932,0.067642
Mrk509,W2,1030,57857.09373,323.77204,3.970456,0.052048893
Mrk509,V,1030,57857.09613,80.77200001,1.146501,0.027388932
Mrk509,M2,1030,57857.098,235.45354,3.5685254,0.05771438
Mrk509,W1,1031,57858.41383,157.7818,3.4696692,0.05307354
Mrk509,U,1031,57858.41525,78.77504003,2.4977956,0.04568517
Mrk509,B,1031,57858.41622,78.764,1.4283195,0.026784246
Mrk509,HX,1031,57858.41763,990.3840192,0.809191,0.051617
Mrk509,SX,1031,57858.41763,990.3840192,1.227427,0.06349
Mrk509,W2,1031,57858.41858,316.77718,4.0657256,0.053320936
Mrk509,V,1031,57858.42092,78.77504003,1.1029016,0.026850553
Mrk509,M2,1031,57858.4229,253.79026,3.5892333,0.056651173
Mrk509,W1,1032,57859.27732,165.76962,3.459991,0.05217018
Mrk509,U,1032,57859.27881,82.75794005,2.385178,0.043018442
